Atalanta,Benevento,Bologna,Cagliari,Crotone,Fiorentina,Genoa,Hellas Verona,Inter,Juventus,Lazio,Milan,Napoli,Parma,Roma,Sampdoria,Sassuolo,Spezia,Torino,Udinese
,,,2,,,1,,,,,,,,1,,1,,,
,,,2,,,4,,,,1,2,,,,1,1,,,
,,,2,,,,,,,,2,,,,2,1,,,
,,,,1,,10,2,6,2,,2,2,,2,,1,2,,
,,,,1,,2,1,4,1,,3,,,2,,1,3,,
,,,,2,1,1,,1,,,,,,2,,4,1,,
,,,,1,,2,,1,,1,,,,3,,4,1,,
1,1,,1,1,,,1,3,,2,,2,,4,,1,,,
2,1,,4,,,,1,3,,,,2,,3,1,,,,
1,,,5,,,,,,,,,,,,,,,,
,,1,3,,,,,,,,,,,,,,,,
,,1,2,,,,,,,,,,,,,,,,
,,1,3,,,,,,,,,,,,,,,,
,,1,2,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,1,,,,,3,,
,,,2,,,,,,2,,1,1,,,,,3,,
,,1,2,,,,,,3,,1,1,,,,,3,,
,1,1,2,,,,,,3,,3,2,,,,,2,,
,1,1,2,,,,,,1,,1,1,,1,,,,,
1,,,1,,,,,,,,1,1,,1,,,,,
