Date,Home,HxG,HScore,AScore,AxG,Away
19/9/2020,Fiorentina,1.9,1,0,0.6,Torino
19/9/2020,Hellas Verona,1.3,3,0,1.7,Roma
20/9/2020,Parma,0.2,0,2,1.6,Napoli
20/9/2020,Genoa,2,4,1,1.2,Crotone
20/9/2020,Sassuolo,2.3,1,1,1,Cagliari
20/9/2020,Juventus,2.4,3,0,0.8,Sampdoria
21/9/2020,Milan,2.9,2,0,0.9,Bologna
26/9/2020,Torino,0.7,2,4,1.6,Atalanta
26/9/2020,Cagliari,1,0,2,2.1,Lazio
26/9/2020,Sampdoria,1.6,2,3,1.2,Benevento
26/9/2020,Inter,2.8,4,3,2.5,Fiorentina
27/9/2020,Spezia,1.1,1,4,2.8,Sassuolo
27/9/2020,Hellas Verona,1,1,0,1.7,Udinese
27/9/2020,Napoli,2.4,6,0,0.6,Genoa
27/9/2020,Crotone,0.3,0,2,2.4,Milan
27/9/2020,Roma,2.7,2,2,1.3,Juventus
28/9/2020,Bologna,2.2,4,1,1,Parma
30/9/2020,Udinese,2.1,0,2,0.7,Spezia
30/9/2020,Benevento,1.5,2,5,3.5,Inter
30/9/2020,Lazio,2.6,1,4,1.7,Atalanta
2/10/2020,Fiorentina,2.1,1,2,2.4,Sampdoria
3/10/2020,Sassuolo,1.7,4,1,1.8,Crotone
3/10/2020,Udinese,0.9,0,1,0.8,Roma
4/10/2020,Atalanta,3.5,5,2,1,Cagliari
4/10/2020,Lazio,1.3,1,1,0.9,Inter
4/10/2020,Benevento,0.9,1,0,1.8,Bologna
4/10/2020,Parma,1.6,1,0,0.5,Hellas Verona
4/10/2020,Milan,2,3,0,0.2,Spezia
17/10/2020,Napoli,1.7,4,1,1,Atalanta
17/10/2020,Sampdoria,1.3,3,0,0.6,Lazio
17/10/2020,Inter,2.4,1,2,2.3,Milan
17/10/2020,Crotone,1.1,1,1,1.6,Juventus
18/10/2020,Bologna,1.4,3,4,2.8,Sassuolo
18/10/2020,Torino,1.7,2,3,2.1,Cagliari
18/10/2020,Spezia,1.1,2,2,1.4,Fiorentina
18/10/2020,Udinese,1.3,3,2,1,Parma
18/10/2020,Roma,4.4,5,2,1.8,Benevento
19/10/2020,Hellas Verona,1.4,0,0,0.4,Genoa
23/10/2020,Sassuolo,2,3,3,2.1,Torino
24/10/2020,Atalanta,2.1,1,3,1.9,Sampdoria
24/10/2020,Genoa,0,0,2,1.8,Inter
24/10/2020,Lazio,1,2,1,1.5,Bologna
25/10/2020,Cagliari,2.4,4,2,1.6,Crotone
25/10/2020,Benevento,0.5,1,2,2.1,Napoli
25/10/2020,Parma,3.2,2,2,0.9,Spezia
25/10/2020,Fiorentina,1.2,3,2,1.8,Udinese
25/10/2020,Juventus,1.8,1,1,0.7,Hellas Verona
26/10/2020,Milan,2.6,3,3,2.3,Roma
31/10/2020,Crotone,0.4,1,2,2.6,Atalanta
31/10/2020,Inter,2.5,2,2,0.7,Parma
31/10/2020,Bologna,1.4,3,2,0.6,Cagliari
1/11/2020,Udinese,1.1,1,2,1.1,Milan
1/11/2020,Torino,2.8,3,4,1.4,Lazio
1/11/2020,Spezia,0.7,1,4,3.4,Juventus
1/11/2020,Roma,3,2,0,0.4,Fiorentina
1/11/2020,Napoli,2.3,0,2,1.4,Sassuolo
1/11/2020,Sampdoria,0.7,1,1,0.6,Genoa
2/11/2020,Hellas Verona,1.7,3,1,1.6,Benevento
4/11/2020,Genoa,1.1,1,2,0.6,Torino
6/11/2020,Sassuolo,0.1,0,0,0.1,Udinese
7/11/2020,Cagliari,2.1,2,0,0.1,Sampdoria
7/11/2020,Benevento,0.3,0,3,0.9,Spezia
7/11/2020,Parma,0.1,0,0,0.7,Fiorentina
8/11/2020,Lazio,0.9,1,1,1.2,Juventus
8/11/2020,Atalanta,0.8,1,1,1,Inter
8/11/2020,Genoa,0.6,1,3,2,Roma
8/11/2020,Torino,0.2,0,0,0.3,Crotone
8/11/2020,Bologna,0.8,0,1,1.2,Napoli
8/11/2020,Milan,3.3,2,2,1.5,Hellas Verona
21/11/2020,Crotone,0.6,0,2,1.8,Lazio
21/11/2020,Spezia,0.5,0,0,1.2,Atalanta
21/11/2020,Juventus,2.1,2,0,0.1,Cagliari
22/11/2020,Fiorentina,0.8,0,1,0.7,Benevento
22/11/2020,Hellas Verona,1.2,0,2,0.5,Sassuolo
